Unternehmen,Monat,Produktion_Budget,Produktion_Kosten,Personal_Budget,Personal_Kosten,IT_Budget,IT_Kosten,Marketing_Budget,Marketing_Kosten,Logistik_Budget,Logistik_Kosten,Sonstiges_Budget,Sonstiges_Kosten,Budget_Gesamt,Ausgaben_Gesamt,Umsatz,Gewinn
Mercedes-Benz Group AG,04-2019,21900000,21503300,12500000,11040400,7700000,6718100,6300000,6074300,4600000,4662600,3600000,4199200,56600000,54197900,75877060,21679160
Mercedes-Benz Group AG,05-2019,21700000,20019000,11000000,11805300,7600000,7034400,7000000,6152700,4300000,4783300,4500000,4428500,56100000,54223200,75912480,21689280
Mercedes-Benz Group AG,06-2019,22000000,19501200,11300000,11693600,8000000,7762400,6600000,6579200,4000000,4297400,4400000,4359800,56300000,54193600,75871040,21677440
Mercedes-Benz Group AG,07-2019,22000000,21966700,11700000,10964600,6500000,7217900,6300000,6408200,4500000,4759300,4400000,3946800,55400000,55263500,77368900,22105400
Mercedes-Benz Group AG,08-2019,22100000,20228200,12000000,11397000,7500000,7231900,5800000,6066300,4600000,4541600,4300000,4186100,56300000,53651100,75111540,21460440
Mercedes-Benz Group AG,09-2019,22100000,19993000,12300000,11852400,8100000,7529100,6500000,5938600,4600000,4178800,3800000,3850800,57400000,53342700,74679780,21337080
Mercedes-Benz Group AG,10-2019,21900000,20127500,12400000,11339500,7000000,6866800,6000000,6441200,5000000,4521300,3800000,3834000,56100000,53130300,74382420,21252120
Mercedes-Benz Group AG,11-2019,22100000,21058200,11500000,11194300,8200000,6878900,6900000,6753000,5000000,4784200,3700000,4052100,57400000,54720700,76608980,21888280
Mercedes-Benz Group AG,12-2019,21600000,21203000,11500000,11958900,7700000,7488800,6500000,6213700,4300000,4675200,3600000,4303500,55200000,55843100,78180340,22337240
Mercedes-Benz Group AG,01-2020,21900000,21072800,11300000,10919500,7000000,7358500,5900000,6560300,4900000,4760400,4200000,4410400,55200000,55081900,77114660,22032760
Mercedes-Benz Group AG,02-2020,22400000,19690400,11500000,11042400,7200000,7114200,6100000,6075600,4400000,4599300,4400000,4029900,56000000,52551800,73572520,21020720
Mercedes-Benz Group AG,03-2020,21600000,21529400,10600000,11253000,6500000,7875800,6900000,5982000,5100000,4103300,3800000,4353300,54500000,55096800,77135520,22038720
Mercedes-Benz Group AG,04-2020,22000000,20499800,10900000,11328400,6700000,7220700,6400000,6170700,4100000,4188200,3800000,4003100,53900000,53410900,74775260,21364360
Mercedes-Benz Group AG,05-2020,22100000,19796400,11300000,10966400,6700000,6933200,6500000,5952800,4600000,4287800,3500000,4311800,54700000,52248400,73147760,20899360
Mercedes-Benz Group AG,06-2020,21600000,20074200,10800000,10910900,7700000,7834600,6200000,6034600,4600000,4821100,4600000,3776500,55500000,53451900,74832660,21380760
Mercedes-Benz Group AG,07-2020,22500000,19749800,11700000,11392800,6600000,6985400,6600000,6148600,4600000,4355000,3700000,4125100,55700000,52756700,73859380,21102680
Mercedes-Benz Group AG,08-2020,21800000,21925200,10600000,11918300,7900000,6981600,6200000,6783500,4300000,4257600,3600000,4249200,54400000,56115400,78561560,22446160
Mercedes-Benz Group AG,09-2020,21900000,20151000,11500000,11829700,7000000,7528700,5900000,6743700,4200000,4810100,4400000,4254000,54900000,55317200,77444080,22126880
Mercedes-Benz Group AG,10-2020,22300000,20435600,11300000,11148700,7100000,7327900,6600000,6731100,4600000,4468200,4200000,3941200,56100000,54052700,75673780,21621080
Mercedes-Benz Group AG,11-2020,21800000,21434300,11900000,11350600,7200000,6860300,6400000,6422900,4300000,4243100,4300000,3892000,55900000,54203200,75884480,21681280
Mercedes-Benz Group AG,12-2020,21600000,20172100,12000000,11504800,7900000,7512100,6300000,6437100,4400000,4206800,3500000,3988800,55700000,53821700,75350380,21528680
Mercedes-Benz Group AG,01-2021,22000000,20016900,10500000,10987000,7200000,7489500,7100000,5914700,4700000,4380900,4700000,3836800,56200000,52625800,73676120,21050320
Mercedes-Benz Group AG,02-2021,21900000,20841700,12300000,11849700,7200000,7373900,6100000,6142500,4000000,4014300,4300000,4487900,55800000,54710000,76594000,21884000
Mercedes-Benz Group AG,03-2021,22400000,19725200,11400000,11352800,7900000,7545200,5900000,6544000,4800000,4846700,4200000,4317300,56600000,54331200,76063680,21732480
Mercedes-Benz Group AG,04-2021,21600000,20762600,10700000,11960800,7400000,7857000,5900000,6435400,4300000,4161900,4100000,4214500,54000000,55392200,77549080,22156880
Mercedes-Benz Group AG,05-2021,21900000,21774900,10500000,10922700,6700000,7449400,6500000,6093300,4500000,4665800,3700000,3807800,53800000,54713900,76599460,21885560
Mercedes-Benz Group AG,06-2021,21800000,20239600,12000000,11086400,7300000,7159300,7100000,6738600,3900000,4515100,4000000,3998800,56100000,53737800,75232920,21495120
Mercedes-Benz Group AG,07-2021,22300000,20060200,11300000,11916300,7200000,6908700,6200000,5920200,3800000,4139900,4100000,4193500,54900000,53138800,74394320,21255520
Mercedes-Benz Group AG,08-2021,22400000,20080200,11600000,11628000,6900000,6965100,6800000,6326300,4000000,4730200,3900000,4159700,55600000,53889500,75445300,21555800
Mercedes-Benz Group AG,09-2021,22400000,19712600,12100000,11763300,6600000,7265500,7000000,5938000,4300000,4714600,4600000,3723600,57000000,53117600,74364640,21247040
Mercedes-Benz Group AG,10-2021,22500000,20104700,11100000,11059800,7300000,7877000,6300000,6221800,5100000,4849700,4200000,4416900,56500000,54529900,76341860,21811960
Mercedes-Benz Group AG,11-2021,21800000,20189900,10600000,11044700,7500000,6976700,5800000,5950500,4700000,4470000,3600000,3913300,54000000,52545100,73563140,21018040
Mercedes-Benz Group AG,12-2021,21900000,21472600,10600000,11922000,6700000,6902800,6800000,6108000,4000000,4148300,4200000,4324000,54200000,54877700,76828780,21951080
Mercedes-Benz Group AG,01-2022,22400000,19882000,11800000,11447300,8000000,7780000,6500000,5952200,5000000,4791900,4400000,4135900,58100000,53989300,75585020,21595720
Mercedes-Benz Group AG,02-2022,22500000,21446200,12500000,11844500,7100000,7672700,6600000,6082600,4700000,4761400,3800000,4321600,57200000,56129000,78580600,22451600
Mercedes-Benz Group AG,03-2022,22400000,21857800,11700000,11073800,7200000,7098900,6500000,6154700,4400000,4176500,4600000,3723100,56800000,54084800,75718720,21633920
Mercedes-Benz Group AG,04-2022,22500000,19949900,12100000,11233900,8200000,6739600,5800000,6461200,5100000,4808800,3700000,4257600,57400000,53451000,74831400,21380400
Mercedes-Benz Group AG,05-2022,22100000,20804300,11600000,11144500,7400000,6800200,6500000,6710500,4400000,4666200,4000000,3750500,56000000,53876200,75426680,21550480
Mercedes-Benz Group AG,06-2022,21800000,20695100,12500000,10948600,8200000,7571700,6400000,6594400,4000000,4082100,4200000,4263300,57100000,54155200,75817280,21662080
Mercedes-Benz Group AG,07-2022,22300000,19721600,10700000,11735400,6600000,6752400,6400000,6084200,4200000,4829100,3800000,4176600,54000000,53299300,74619020,21319720
Mercedes-Benz Group AG,08-2022,22500000,19524500,11100000,11960500,8000000,7024800,5900000,6038300,4100000,4395600,4300000,3980700,55900000,52924400,74094160,21169760
Mercedes-Benz Group AG,09-2022,21800000,21831200,12300000,11358800,7200000,6738200,6400000,5947300,4200000,4785900,4200000,3770000,56100000,54431400,76203960,21772560
Mercedes-Benz Group AG,10-2022,22500000,21896300,10600000,11101900,6900000,6852200,6600000,5988900,4900000,4288300,3800000,3751200,55300000,53878800,75430320,21551520
Mercedes-Benz Group AG,11-2022,21500000,21535300,10700000,11615600,8000000,7716600,5900000,6586100,4600000,4821000,3500000,3928400,54200000,56203000,78684200,22481200
Mercedes-Benz Group AG,12-2022,22000000,21023500,11200000,11000500,7900000,7241500,6600000,5975700,5100000,4614400,4300000,4060200,57100000,53915800,75482120,21566320
Mercedes-Benz Group AG,01-2023,22300000,20473300,11300000,11822800,6500000,7824500,6600000,6518100,5000000,4655400,4200000,4037100,55900000,55331200,77463680,22132480
Mercedes-Benz Group AG,02-2023,22500000,19999000,12100000,11440500,7600000,7882700,6400000,6550900,3900000,4302200,3800000,3771500,56300000,53946800,75525520,21578720
Mercedes-Benz Group AG,03-2023,21900000,20179000,10900000,11064300,6900000,7845200,6300000,6404400,4200000,4408100,4700000,4013500,54900000,53914500,75480300,21565800
Mercedes-Benz Group AG,04-2023,22000000,19538500,12400000,11496900,7900000,7537000,6200000,6203100,3900000,4464800,4400000,4342500,56800000,53582800,75015920,21433120
Mercedes-Benz Group AG,05-2023,22300000,19690900,11700000,11634500,8100000,7039500,6100000,6022700,4600000,4806700,4700000,3936300,57500000,53130600,74382840,21252240
Mercedes-Benz Group AG,06-2023,21600000,21854400,11500000,10985000,7500000,7333400,6400000,6439000,4400000,4500200,3500000,4201200,54900000,55313200,77438480,22125280
Mercedes-Benz Group AG,07-2023,22100000,20680200,11000000,10950500,7500000,6838100,6200000,6278300,5100000,4301400,4000000,3712100,55900000,52760600,73864840,21104240
Mercedes-Benz Group AG,08-2023,22300000,21277100,11200000,11143400,6800000,7628500,7100000,6074800,4000000,4295600,4300000,4283900,55700000,54703300,76584620,21881320
Mercedes-Benz Group AG,09-2023,21700000,21082300,12000000,11979000,8000000,7657400,6500000,6219100,4500000,4567800,3700000,4245800,56400000,55751400,78051960,22300560
Mercedes-Benz Group AG,10-2023,22500000,21192300,11900000,11498100,7400000,7694800,6500000,6499100,4900000,4389500,3500000,4397100,56700000,55670900,77939260,22268360
Mercedes-Benz Group AG,11-2023,22200000,21891900,10900000,11936900,7600000,6923200,6800000,6482400,4200000,4407400,4600000,4439400,56300000,56081200,78513680,22432480
Mercedes-Benz Group AG,12-2023,21500000,20628500,11300000,11412100,8000000,7529300,6300000,6389000,4900000,4758000,4700000,4281300,56700000,54998200,76997480,21999280
Mercedes-Benz Group AG,01-2024,22400000,19707300,11000000,11169500,8200000,6751400,6900000,6462100,4600000,4791400,3700000,3964800,56800000,52846500,73985100,21138600
Mercedes-Benz Group AG,02-2024,21800000,19765400,12100000,11865700,7900000,6959000,6200000,6652400,4500000,4858600,4700000,4030700,57200000,54131800,75784520,21652720
Mercedes-Benz Group AG,03-2024,22100000,21162500,11700000,11286600,7000000,7769600,6100000,6793300,4400000,4477700,3700000,3805300,55000000,55295000,77413000,22118000
Mercedes-Benz Group AG,04-2024,22400000,20943200,11900000,11901300,6500000,7460000,6800000,6142300,3900000,4520000,4500000,3909300,56000000,54876100,76826540,21950440
Mercedes-Benz Group AG,05-2024,21600000,21297700,11800000,11812600,6700000,6815400,7000000,6779800,4000000,4472600,3800000,3873600,54900000,55051700,77072380,22020680
Mercedes-Benz Group AG,06-2024,21800000,19636300,12500000,11157700,8200000,7759200,6700000,6691400,5100000,4355100,3700000,4451500,58000000,54051200,75671680,21620480
Mercedes-Benz Group AG,07-2024,22200000,21734500,12500000,11231600,8000000,7521900,6400000,6193000,3800000,4172700,3600000,4010100,56500000,54863800,76809320,21945520
Mercedes-Benz Group AG,08-2024,22300000,21779000,10600000,11472400,7400000,7645500,6300000,6762900,3900000,4057400,3600000,4035200,54100000,55752400,78053360,22300960
Mercedes-Benz Group AG,09-2024,22100000,20909500,11700000,11732000,7500000,7889300,6900000,5970200,4600000,4828200,4300000,3722000,57100000,55051200,77071680,22020480
Mercedes-Benz Group AG,10-2024,21500000,21574400,10900000,11996900,7700000,6825200,6700000,6692900,4800000,4821100,4600000,3750100,56200000,55660600,77924840,22264240
Mercedes-Benz Group AG,11-2024,22000000,19628200,12500000,11387400,7600000,7512200,6300000,6384500,5100000,4027700,4000000,4407100,57500000,53347100,74685940,21338840
Mercedes-Benz Group AG,12-2024,21700000,21451300,12300000,10954900,6800000,7006100,6500000,6431800,5100000,4204500,4100000,3870000,56500000,53918600,75486040,21567440
Ford Motor Company,01-2015,21600000,21694300,12200000,11995700,7700000,7867300,6000000,6097300,4800000,4532900,3900000,4145000,56200000,56332500,78865500,22533000
Ford Motor Company,02-2015,21800000,20412900,12200000,10954200,7900000,7688100,6900000,6746300,4600000,4521300,3600000,3920100,57000000,54242900,75940060,21697160
Ford Motor Company,03-2015,22300000,20772100,11400000,11669600,7300000,7366200,6400000,6169500,4500000,4139900,4300000,4302200,56200000,54419500,76187300,21767800
Ford Motor Company,04-2015,21900000,20196500,11700000,11114100,7200000,7745200,6100000,6630600,4800000,4153600,4100000,4452100,55800000,54292100,76008940,21716840
Ford Motor Company,05-2015,22200000,20795000,11100000,11424900,6500000,7066200,6200000,6052900,5100000,4647200,4300000,4068800,55400000,54055000,75677000,21622000
Ford Motor Company,06-2015,22100000,21000100,11700000,11866600,7200000,7593100,5900000,6726200,4500000,4488100,4500000,4064900,55900000,55739000,78034600,22295600
Ford Motor Company,07-2015,22200000,20276600,11100000,11092400,6800000,7042000,6400000,6682600,4600000,4679400,4700000,4034300,55800000,53807300,75330220,21522920
Ford Motor Company,08-2015,21700000,21191300,12400000,11151000,6900000,7325300,6200000,6730300,3800000,4201700,4300000,4354200,55300000,54953800,76935320,21981520
Ford Motor Company,09-2015,21800000,20744000,11500000,11798700,7900000,7540100,5800000,5961000,4000000,4039300,4400000,4091700,55400000,54174800,75844720,21669920
Ford Motor Company,10-2015,22000000,19652000,11200000,11675300,7900000,7692000,6700000,6076800,3800000,4103100,4000000,4400900,55600000,53600100,75040140,21440040
Ford Motor Company,11-2015,21600000,20922700,11700000,11208100,7000000,7195600,7100000,6209500,5000000,4454400,4400000,3800000,56800000,53790300,75306420,21516120
Ford Motor Company,12-2015,21500000,21241300,12000000,11231300,6900000,7674100,6100000,6649200,4800000,4667600,3800000,4116300,55100000,55579800,77811720,22231920
Ford Motor Company,01-2016,22500000,20692900,11600000,11765100,7100000,6852200,6800000,6053000,4300000,4270800,4200000,3836200,56500000,53470200,74858280,21388080
Ford Motor Company,02-2016,21900000,20838200,11200000,11655000,7000000,7205200,6800000,6237300,4300000,4468300,3700000,4075100,54900000,54479100,76270740,21791640
Ford Motor Company,03-2016,21500000,20397000,11500000,11964400,6900000,7340800,6700000,6219900,4300000,4842000,4100000,4068600,55000000,54832700,76765780,21933080
Ford Motor Company,04-2016,22100000,21472000,11100000,11492400,6700000,7550400,7000000,6399700,4200000,4085600,4700000,4300200,55800000,55300300,77420420,22120120
Ford Motor Company,05-2016,22400000,21437400,10700000,11588800,8000000,7242000,5900000,6147100,5100000,4338700,3700000,3843900,55800000,54597900,76437060,21839160
Ford Motor Company,06-2016,21700000,20413900,11700000,11880000,7600000,7185600,6600000,6122200,3900000,4593900,3600000,4441400,55100000,54637000,76491800,21854800
Ford Motor Company,07-2016,22400000,19773800,12000000,11238800,7900000,7163300,6100000,6056400,4500000,4381200,4500000,4432900,57400000,53046400,74264960,21218560
Ford Motor Company,08-2016,21700000,20354200,12400000,11290600,7200000,6875700,7000000,6446800,4200000,4685800,4200000,3904000,56700000,53557100,74979940,21422840
Ford Motor Company,09-2016,21900000,21481400,11800000,11437400,7600000,7283800,6500000,6681100,4000000,4482600,4000000,3961300,55800000,55327600,77458640,22131040
Ford Motor Company,10-2016,22400000,21906500,10900000,11064800,7100000,7811900,6800000,6716100,4100000,4462300,3500000,4142400,54800000,56104000,78545600,22441600
Ford Motor Company,11-2016,21800000,21572100,12000000,11185000,8100000,7423800,6100000,6363700,4700000,4415600,3600000,4337300,56300000,55297500,77416500,22119000
Ford Motor Company,12-2016,21700000,20362800,11000000,11292500,7200000,7780300,6300000,6467000,4800000,4898700,4500000,4429600,55500000,55230900,77323260,22092360
Ford Motor Company,01-2017,22300000,20232300,12200000,11289800,7500000,7481500,6600000,6780700,4600000,4593700,3900000,4114100,57100000,54492100,76288940,21796840
Ford Motor Company,02-2017,21500000,20157300,11700000,11104900,6500000,7108100,6000000,6198100,4500000,4032500,4000000,4460400,54200000,53061300,74285820,21224520
Ford Motor Company,03-2017,21900000,20157900,11100000,11155100,7900000,7156000,6700000,6711400,4400000,4207200,3700000,3994800,55700000,53382400,74735360,21352960
Ford Motor Company,04-2017,21700000,20654500,12400000,10931200,6700000,7835200,6400000,6013800,4900000,4094000,3800000,4299800,55900000,53828500,75359900,21531400
Ford Motor Company,05-2017,21900000,20615900,12000000,11996300,7000000,7075000,6800000,6095700,4600000,4645900,3800000,4091800,56100000,54520600,76328840,21808240
Ford Motor Company,06-2017,22300000,21359000,12400000,11943000,8100000,7347300,6000000,6745400,3800000,4693100,3800000,4425200,56400000,56513000,79118200,22605200
Ford Motor Company,07-2017,22100000,20341400,11900000,11602600,7300000,7299400,6100000,6359100,3800000,4098700,3900000,4242700,55100000,53943900,75521460,21577560
Ford Motor Company,08-2017,22300000,21733900,11900000,10978200,7200000,7828700,6800000,6560100,4900000,4459400,3500000,3911100,56600000,55471400,77659960,22188560
Ford Motor Company,09-2017,21500000,19609200,11400000,11240600,6500000,7506000,6300000,6236500,4600000,4401100,4200000,3812600,54500000,52806000,73928400,21122400
Ford Motor Company,10-2017,21500000,21013400,11700000,11586300,7400000,7497500,5800000,6670300,4500000,4074700,4100000,3862600,55000000,54704800,76586720,21881920
Ford Motor Company,11-2017,21600000,21801700,11700000,11610400,8100000,7380200,5800000,6523200,4500000,4640400,4600000,4360200,56300000,56316100,78842540,22526440
Ford Motor Company,12-2017,22100000,21869300,10500000,11395900,7200000,7114000,6800000,5911000,4200000,4113400,4100000,3837400,54900000,54241000,75937400,21696400
Ford Motor Company,01-2018,21900000,21289700,10500000,11590500,6800000,7149900,6900000,6739600,5100000,4580900,4700000,3887100,55900000,55237700,77332780,22095080
Ford Motor Company,02-2018,22300000,20758900,11500000,11439600,6600000,6883100,6900000,6228500,3800000,4139200,3700000,4466000,54800000,53915300,75481420,21566120
Ford Motor Company,03-2018,22400000,19794700,11900000,11357800,6500000,7515800,5900000,6213300,4600000,4036500,3600000,3984900,54900000,52903000,74064200,21161200
Ford Motor Company,04-2018,21800000,20162400,12000000,11770500,8100000,7214700,6300000,6378300,3800000,4237800,4000000,3717500,56000000,53481200,74873680,21392480
Ford Motor Company,05-2018,21500000,19995800,12100000,11263000,7200000,7011900,5900000,6483700,4500000,4405900,4700000,4124600,55900000,53284900,74598860,21313960
Ford Motor Company,06-2018,21700000,20761300,10800000,11737800,6500000,6804600,5900000,6147300,4100000,4298000,3700000,3988300,52700000,53737300,75232220,21494920
Ford Motor Company,07-2018,21700000,21400900,11800000,11313500,7800000,7584800,6700000,6130900,4500000,4448100,4300000,4060300,56800000,54938500,76913900,21975400
Ford Motor Company,08-2018,21700000,20965300,11100000,11921200,7000000,7140600,6700000,6249600,4700000,4762300,3800000,4044000,55000000,55083000,77116200,22033200
Ford Motor Company,09-2018,22200000,19528600,11700000,10907300,7700000,6789300,6200000,6730700,4200000,4393500,4100000,4163500,56100000,52512900,73518060,21005160
Ford Motor Company,10-2018,22500000,21843100,12000000,11415600,7400000,7135000,6900000,6553400,4100000,4888600,3600000,4334400,56500000,56170100,78638140,22468040
Ford Motor Company,11-2018,22200000,20008800,10800000,10921600,7900000,7021700,6900000,6291500,4800000,4125600,4300000,3706100,56900000,52075300,72905420,20830120
Ford Motor Company,12-2018,21600000,19772200,12300000,11159100,7600000,7180900,6200000,5931700,4600000,4791900,4400000,3910800,56700000,52746600,73845240,21098640
Ford Motor Company,01-2019,22300000,20681100,12000000,11312600,6800000,7783900,6400000,5975600,4200000,4645500,4700000,4482500,56400000,54881200,76833680,21952480
Ford Motor Company,02-2019,22000000,21515700,11000000,11662400,7500000,7008600,6900000,6310500,4400000,4137500,4200000,3828300,56000000,54463000,76248200,21785200
Ford Motor Company,03-2019,22200000,21801300,10900000,10990900,6500000,6861000,6200000,6350000,4300000,4143600,3700000,4466100,53800000,54612900,76458060,21845160
Ford Motor Company,04-2019,22000000,21888500,11500000,11001500,7300000,7501200,6200000,6027600,4600000,4577800,4500000,4037400,56100000,55034000,77047600,22013600
Ford Motor Company,05-2019,21600000,21771400,12100000,11454600,6600000,7684000,6900000,6026700,3800000,4608000,4100000,3923200,55100000,55467900,77655060,22187160
Ford Motor Company,06-2019,22000000,19911600,12500000,11108700,7100000,7726300,7000000,5910300,4300000,4049000,3800000,4300400,56700000,53006300,74208820,21202520
Ford Motor Company,07-2019,22300000,20695300,10600000,11210600,8100000,7328000,7000000,6175300,5000000,4781000,4200000,3862300,57200000,54052500,75673500,21621000
Ford Motor Company,08-2019,21500000,20894800,11900000,11999100,7500000,6854100,7100000,6393000,3900000,4394700,4700000,4053700,56600000,54589400,76425160,21835760
Ford Motor Company,09-2019,22400000,19611700,10500000,11199700,8100000,7416600,5800000,6412100,4700000,4827900,4700000,4366100,56200000,53834100,75367740,21533640
Ford Motor Company,10-2019,22400000,20465400,11300000,11509800,8000000,6939300,6500000,6167900,3800000,4213000,3900000,4240700,55900000,53536100,74950540,21414440
Ford Motor Company,11-2019,22300000,20621700,11100000,11522000,7100000,7726100,6600000,6040800,5100000,4293000,4000000,4193800,56200000,54397400,76156360,21758960
Ford Motor Company,12-2019,22000000,21243300,10800000,11193600,8100000,6806000,6000000,6044300,4500000,4626500,4500000,3707100,55900000,53620800,75069120,21448320
Ford Motor Company,01-2020,22000000,20316900,10600000,11668900,7900000,7400700,6800000,6291500,5000000,4218300,4000000,4379400,56300000,54275700,75985980,21710280
Ford Motor Company,02-2020,22200000,20442200,10700000,11067800,6700000,7013000,6700000,5918600,4800000,4137800,3500000,3804000,54600000,52383400,73336760,20953360
Ford Motor Company,03-2020,21600000,20801300,12200000,11877200,7700000,7653400,6200000,6385200,3900000,4316500,3600000,3800200,55200000,54833800,76767320,21933520
Ford Motor Company,04-2020,22500000,21088800,11600000,11192100,6600000,7052300,6500000,6024200,4400000,4866000,3700000,3955500,55300000,54178900,75850460,21671560
Ford Motor Company,05-2020,22400000,20208800,10600000,11138900,8000000,7082700,6200000,6648800,4000000,4680600,4100000,4041600,55300000,53801400,75321960,21520560
Ford Motor Company,06-2020,22300000,21337300,11700000,11813300,7100000,7285100,6200000,5954300,4700000,4727800,4000000,4376700,56000000,55494500,77692300,22197800
Ford Motor Company,07-2020,22400000,21170000,11900000,11729900,8100000,7011600,6600000,6670900,4200000,4639700,4400000,3968000,57600000,55190100,77266140,22076040
Ford Motor Company,08-2020,22400000,19592100,11600000,11044800,6800000,7266100,6800000,6045600,4100000,4728000,4700000,3920200,56400000,52596800,73635520,21038720
Ford Motor Company,09-2020,21600000,20468900,12500000,11978000,7600000,7280300,5800000,6626900,4800000,4243100,3600000,4375800,55900000,54973000,76962200,21989200
Ford Motor Company,10-2020,21500000,21298500,12100000,10932700,8200000,7688700,6600000,6003900,4500000,4500900,4400000,4031200,57300000,54455900,76238260,21782360
Ford Motor Company,11-2020,22400000,20199800,10800000,11917300,6500000,7778500,6600000,6500000,5000000,4042800,4200000,3810200,55500000,54248600,75948040,21699440
Ford Motor Company,12-2020,22200000,21986800,10800000,11796000,7600000,7490200,6000000,6629900,4100000,4477300,4400000,3913900,55100000,56294100,78811740,22517640
Ford Motor Company,01-2021,21700000,20504800,10600000,11964000,7800000,7580100,6600000,6484100,4100000,4337000,4100000,3950200,54900000,54820200,76748280,21928080
Ford Motor Company,02-2021,22500000,20920800,12400000,10967100,7900000,7193900,6900000,5910800,4700000,4849000,4600000,4394100,59000000,54235700,75929980,21694280
Ford Motor Company,03-2021,22300000,19775500,11000000,11721300,7100000,7382900,5900000,6297700,4700000,4536500,4500000,4061700,55500000,53775600,75285840,21510240
Ford Motor Company,04-2021,21500000,19947000,10500000,11227000,7900000,7061400,6600000,6642500,4000000,4374700,3900000,3728000,54400000,52980600,74172840,21192240
Ford Motor Company,05-2021,21600000,20939000,10500000,11410400,7500000,7220600,6300000,6604300,4300000,4653800,4500000,3701900,54700000,54530000,76342000,21812000
Ford Motor Company,06-2021,22000000,21332100,11500000,11256500,7600000,6791800,7100000,6351800,5100000,4364100,3900000,3754100,57200000,53850400,75390560,21540160
Ford Motor Company,07-2021,22300000,20145300,11100000,11701200,7400000,7711100,6500000,6696900,4000000,4191900,4200000,4265600,55500000,54712000,76596800,21884800
Ford Motor Company,08-2021,22400000,21938400,10600000,11512400,7900000,7620200,6100000,6308900,4000000,4396400,4600000,4273700,55600000,56050000,78470000,22420000
Ford Motor Company,09-2021,21600000,19726100,12000000,11842300,7400000,7711200,6300000,6275500,4100000,4110300,4300000,3941400,55700000,53606800,75049520,21442720
Ford Motor Company,10-2021,21700000,20804400,11900000,11383400,6800000,6781200,5800000,6622800,3800000,4141300,3600000,3770500,53600000,53503600,74905040,21401440
Ford Motor Company,11-2021,21700000,21551700,11700000,11426700,7600000,7323800,7100000,5955300,4600000,4399100,4100000,4316000,56800000,54972600,76961640,21989040
Ford Motor Company,12-2021,21800000,20406000,10500000,11329900,6900000,7732100,5900000,6455200,4200000,4372500,3800000,3860300,53100000,54156000,75818400,21662400
Ford Motor Company,01-2022,22200000,20895400,11400000,11713400,8000000,7415500,6700000,6426000,5000000,4155100,3800000,4422600,57100000,55028000,77039200,22011200
Ford Motor Company,02-2022,22500000,19976900,10600000,10908200,6900000,7209500,6200000,6062100,4300000,4157400,4500000,4223600,55000000,52537700,73552780,21015080
Ford Motor Company,03-2022,22500000,20106000,10900000,11542600,7900000,7786500,6600000,5942800,4900000,4487800,4000000,4251600,56800000,54117300,75764220,21646920
Ford Motor Company,04-2022,22000000,21664300,11100000,11859800,8000000,7147200,6800000,6086200,4600000,4618000,4200000,4147200,56700000,55522700,77731780,22209080
Ford Motor Company,05-2022,22200000,21804800,11700000,11315200,8200000,7829100,7000000,6024100,4300000,4184400,3900000,3813000,57300000,54970600,76958840,21988240
Ford Motor Company,06-2022,21600000,19635900,10800000,11881000,6800000,7048300,6700000,6580300,5000000,4593000,3800000,3965300,54700000,53703800,75185320,21481520
Ford Motor Company,07-2022,21800000,19770300,11300000,11013600,7900000,7291900,7000000,6011300,5000000,4687300,3800000,3908000,56800000,52682400,73755360,21072960
Ford Motor Company,08-2022,22200000,20248500,11000000,11612700,6500000,7506100,6100000,6678500,5000000,4158100,4100000,3704700,54900000,53908600,75472040,21563440
Ford Motor Company,09-2022,22100000,20212500,10900000,11702100,6900000,7094700,6300000,6363200,4200000,4851500,4700000,3897600,55100000,54121600,75770240,21648640
Ford Motor Company,10-2022,21600000,21712700,10500000,10917100,7000000,7653900,6200000,6163800,4200000,4228000,4400000,4495100,53900000,55170600,77238840,22068240
Ford Motor Company,11-2022,22300000,21540000,10700000,11447500,7700000,6945700,6400000,6095200,4300000,4691300,4700000,4139600,56100000,54859300,76803020,21943720
Ford Motor Company,12-2022,22100000,20984000,11600000,11952700,6800000,6882600,7000000,6577200,4400000,4781700,3800000,4483000,55700000,55661200,77925680,22264480
Ford Motor Company,01-2023,22200000,20598100,11300000,11439300,7300000,7880500,6800000,6069100,4700000,4573300,3600000,4339500,55900000,54899800,76859720,21959920
Ford Motor Company,02-2023,22200000,20313100,10500000,11510600,7300000,6914100,6400000,6138300,4100000,4315400,4300000,4054000,54800000,53245500,74543700,21298200
Ford Motor Company,03-2023,22400000,21440700,12200000,11173500,6600000,7481000,6700000,6536300,3900000,4658400,3900000,4323900,55700000,55613800,77859320,22245520
Ford Motor Company,04-2023,21700000,20761900,11500000,11470400,6700000,7298200,7000000,6676400,4700000,4274000,3800000,4147800,55400000,54628700,76480180,21851480
Ford Motor Company,05-2023,22200000,20342500,11200000,11884400,8100000,7277600,5800000,5944400,4000000,4019700,4600000,3886500,55900000,53355100,74697140,21342040
Ford Motor Company,06-2023,22300000,20861400,10900000,11868400,6900000,7153100,5900000,5978100,4100000,4251500,3900000,4474800,54000000,54587300,76422220,21834920
Ford Motor Company,07-2023,21800000,20737600,12300000,11371200,7000000,7495600,6800000,6360200,4300000,4486500,4700000,3792200,56900000,54243300,75940620,21697320
Ford Motor Company,08-2023,21900000,20265900,12300000,11801800,7000000,7537800,7000000,6421100,3800000,4024000,4400000,3866900,56400000,53917500,75484500,21567000
